playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
17878,Dennis Santana,ARI,RP,RP,30,424.8,58.3,7,,,,,,,,,FA
20036,Isaac Paredes,HOU,1B/3B,3B,27,609.9,48.9,6,,11.0,-5.0,0,13.0,-7.0,0.0,-1.0,Providence Grays
26294,Bryson Stott,PHI,2B/SS/3B,2B,28,587.6,51.3,6,,8.0,-2.0,0,10.0,-4.0,0.0,-2.0,Barreled Souls
37123,Kazuma Okamoto,TOR,1B/3B,3B,30,613.5,52.5,6,,10.0,-4.0,0,12.0,-6.0,0.0,-1.0,Chin Music Choir
21618,Alec Bohm,PHI,1B/3B,3B,29,607.8,46.8,6,,4.0,2.0,0,6.0,0.0,0.0,-4.0,Bloom's Onions
33824,Jung Hoo Lee,SFG,OF,OF,27,524.6,52.8,6,,8.0,-2.0,0,10.0,-4.0,0.0,-2.0,Peel A Section
21454,Lars Nootbaar,ARI,OF,OF,28,521.2,49.4,6,,1.0,5.0,1,4.0,2.0,0.8,-6.0,Providence Grays
16442,Ryan O'Hearn,PIT,1B/OF,OF,32,522.0,50.2,6,,3.0,3.0,1,6.0,0.0,0.0,-5.0,Twin Pines 🌲🌲
20492,Casey Mize,SDP,SP,SP,29,609.0,54.1,6,,7.0,-1.0,0,9.0,-3.0,0.0,-3.0,Peel A Section
22286,Trevor Rogers,BAL,SP,SP,28,604.6,49.8,6,,5.0,1.0,0,7.0,-1.0,0.0,-4.0,Bloom's Onions
27474,Max Meyer,MIA,SP,SP,27,605.3,50.5,6,,9.0,-3.0,0,11.0,-5.0,0.0,-2.0,Sweet Spot
19769,Will Vest,DET,RP,RP,31,414.8,50.3,6,,,,,,,,,FA
23003,Yainer Diaz,HOU,C,C,27,560.8,38.7,5,,,,,,,,,FA
27899,Colt Keith,DET,1B/2B/3B,2B,24,571.4,35.1,5,,6.0,-1.0,0,8.0,-3.0,0.0,-2.0,Rock the Casasbah
24598,Addison Barger,TOR,3B/OF,OF,26,515.9,44.1,5,,4.0,1.0,0,6.0,-1.0,0.0,-3.0,Rock the Casasbah
20043,Luis Robert Jr.,BAL,OF,OF,28,512.8,41.0,5,,5.0,0.0,0,7.0,-2.0,0.0,-3.0,Rock the Casasbah
10155,Mike Trout,LAA,OF,OF,34,510.1,38.3,5,,17.0,-12.0,0,19.0,-14.0,0.0,3.0,Sweet Spot
26466,Matt Wallner,MIN,OF,OF,28,506.8,35.0,5,,,,,,,,,FA
32127,Chase DeLauter,CLE,OF,OF,24,514.0,42.2,5,,3.0,2.0,0,5.0,0.0,0.1,-4.0,Rock the Casasbah
25961,Kerry Carpenter,DET,OF,OF,28,515.5,43.7,5,,,,,,,,,FA
25479,Brenton Doyle,CHW,OF,OF,28,509.3,37.5,5,,,,,,,,,FA
21224,Bailey Ober,MIN,SP,SP,30,590.9,36.5,5,,4.0,1.0,0,6.0,-1.0,0.0,-3.0,Sweet Spot
15890,Luis Severino,ATH,SP,SP,32,593.9,39.4,5,,,,,,,,,FA
